course,representation,focal_strategy,num_clusters,aic
oli_intro_bio,tf-idf,paragraph,10,64722.38
oli_intro_bio,tf-idf,paragraph,50,63137.46
oli_intro_bio,tf-idf,paragraph,100,62314.54
oli_intro_bio,tf-idf,paragraph,150,60953.59
oli_intro_bio,tf-idf,paragraph,200,61080.56
oli_intro_bio,tf-idf,assessment,10,65114.67
oli_intro_bio,tf-idf,assessment,50,62692.28
oli_intro_bio,tf-idf,assessment,100,61476.25
oli_intro_bio,tf-idf,assessment,150,60341.06
oli_intro_bio,tf-idf,assessment,200,59929.66
oli_gen_chem,tf-idf,paragraph,10,72111.61
oli_gen_chem,tf-idf,paragraph,50,70808.81
oli_gen_chem,tf-idf,paragraph,100,70587.19
oli_gen_chem,tf-idf,paragraph,150,69308.71
oli_gen_chem,tf-idf,paragraph,200,69419.62
oli_gen_chem,tf-idf,assessment,10,72165.54
oli_gen_chem,tf-idf,assessment,50,70805.68
oli_gen_chem,tf-idf,assessment,100,68624.37
oli_gen_chem,tf-idf,assessment,150,68906.46
oli_gen_chem,tf-idf,assessment,200,69712.13
oli_intro_bio,tf-idf,paragraph,10,64482.28
oli_intro_bio,tf-idf,paragraph,50,63022.44
oli_intro_bio,tf-idf,paragraph,100,62064.5
oli_intro_bio,tf-idf,paragraph,150,61595.51
oli_intro_bio,tf-idf,paragraph,200,60078.52
oli_intro_bio,tf-idf,assessment,10,64618
oli_intro_bio,tf-idf,assessment,50,62347.46
oli_intro_bio,tf-idf,assessment,100,61728.44
oli_intro_bio,tf-idf,assessment,150,60286.46
oli_intro_bio,tf-idf,assessment,200,59525.53
oli_gen_chem,tf-idf,paragraph,10,72950.92
oli_gen_chem,tf-idf,paragraph,50,70638.48
oli_gen_chem,tf-idf,paragraph,100,69996.45
oli_gen_chem,tf-idf,paragraph,150,69847.08
oli_gen_chem,tf-idf,paragraph,200,69072.77
oli_gen_chem,tf-idf,assessment,10,72423.09
oli_gen_chem,tf-idf,assessment,50,70048.03
oli_gen_chem,tf-idf,assessment,100,68764.57
oli_gen_chem,tf-idf,assessment,150,69254.94
oli_gen_chem,tf-idf,assessment,200,68659.69
oli_intro_bio,tf-idf,paragraph,10,64586.62
oli_intro_bio,tf-idf,paragraph,50,63030.81
oli_intro_bio,tf-idf,paragraph,100,61732.61
oli_intro_bio,tf-idf,paragraph,150,61088.67
oli_intro_bio,tf-idf,paragraph,200,61067.73
oli_intro_bio,tf-idf,assessment,10,64503.34
oli_intro_bio,tf-idf,assessment,50,62274.22
oli_intro_bio,tf-idf,assessment,100,61307.17
oli_intro_bio,tf-idf,assessment,150,60654.79
oli_intro_bio,tf-idf,assessment,200,60251.82
oli_gen_chem,tf-idf,paragraph,10,72335.18
oli_gen_chem,tf-idf,paragraph,50,71076.93
oli_gen_chem,tf-idf,paragraph,100,69546.19
oli_gen_chem,tf-idf,paragraph,150,69284.58
oli_gen_chem,tf-idf,paragraph,200,69296.24
oli_gen_chem,tf-idf,assessment,10,72669
oli_gen_chem,tf-idf,assessment,50,70456.13
oli_gen_chem,tf-idf,assessment,100,68883.93
oli_gen_chem,tf-idf,assessment,150,68330.53
oli_gen_chem,tf-idf,assessment,200,68881.17
oli_intro_bio,tf-idf,paragraph,10,64373.16
oli_intro_bio,tf-idf,paragraph,50,62393.88
oli_intro_bio,tf-idf,paragraph,100,60888.26
oli_intro_bio,tf-idf,paragraph,150,60920.35
oli_intro_bio,tf-idf,paragraph,200,61145.2
oli_intro_bio,tf-idf,assessment,10,64675.47
oli_intro_bio,tf-idf,assessment,50,62437.81
oli_intro_bio,tf-idf,assessment,100,61103.22
oli_intro_bio,tf-idf,assessment,150,59816.11
oli_intro_bio,tf-idf,assessment,200,60226.07
oli_gen_chem,tf-idf,paragraph,10,72823.44
oli_gen_chem,tf-idf,paragraph,50,70952.49
oli_gen_chem,tf-idf,paragraph,100,69546.29
oli_gen_chem,tf-idf,paragraph,150,69708.14
oli_gen_chem,tf-idf,paragraph,200,69125.71
oli_gen_chem,tf-idf,assessment,10,72155.28
oli_gen_chem,tf-idf,assessment,50,70962.21
oli_gen_chem,tf-idf,assessment,100,69379.13
oli_gen_chem,tf-idf,assessment,150,68714.46
oli_gen_chem,tf-idf,assessment,200,68521.75
oli_intro_bio,s-bert,assessment,10,64840
oli_intro_bio,s-bert,paragraph,10,65097.7
oli_gen_chem,s-bert,paragraph,10,72200.19
oli_gen_chem,s-bert,assessment,10,71567.06
oli_gen_chem,s-bert,assessment,50,71151.37
oli_intro_bio,s-bert,paragraph,50,63452.76
oli_gen_chem,s-bert,paragraph,50,70574.2
oli_intro_bio,s-bert,assessment,50,62844.83
oli_intro_bio,bert,assessment,10,65065.24
oli_intro_bio,bert,paragraph,10,64919.55
oli_intro_bio,bert,paragraph,50,64913.26
oli_gen_chem,bert,assessment,10,72194.59
oli_intro_bio,bert,assessment,50,63704.59
oli_gen_chem,bert,paragraph,10,72013.34
oli_gen_chem,bert,assessment,50,71517.24
oli_gen_chem,bert,paragraph,50,71320.13
oli_intro_bio,bert,paragraph,100,63198.81
oli_gen_chem,bert,paragraph,100,71521.99
oli_gen_chem,s-bert,paragraph,100,69396.94
oli_intro_bio,s-bert,paragraph,100,62441.46
oli_intro_bio,bert,assessment,100,62453.89
oli_intro_bio,bert,paragraph,150,62958.85
oli_gen_chem,s-bert,assessment,100,69137.33
oli_gen_chem,bert,assessment,100,70817.49
oli_intro_bio,s-bert,assessment,100,60917.92
oli_gen_chem,bert,paragraph,150,70609.89
oli_gen_chem,bert,paragraph,200,70864.44
oli_intro_bio,bert,paragraph,200,61928.95
oli_gen_chem,bert,assessment,150,70226.1
oli_gen_chem,s-bert,paragraph,150,70445.46
oli_intro_bio,s-bert,paragraph,150,61241.7
oli_gen_chem,s-bert,assessment,150,70465.33
oli_intro_bio,bert,assessment,150,61606.58
oli_intro_bio,s-bert,assessment,150,60935.67
oli_intro_bio,s-bert,paragraph,200,60983.91
oli_gen_chem,s-bert,paragraph,200,69593.41
oli_gen_chem,s-bert,assessment,200,69051.53
oli_intro_bio,bert,assessment,200,60402.98
oli_gen_chem,bert,assessment,200,69808.4
oli_intro_bio,s-bert,assessment,200,60327.29
oli_intro_bio,s-bert,paragraph,10,65010.9
oli_intro_bio,s-bert,assessment,10,64935.45
oli_gen_chem,s-bert,assessment,10,72383.97
oli_gen_chem,s-bert,paragraph,10,72271.3
oli_intro_bio,s-bert,paragraph,50,63492.69
oli_gen_chem,s-bert,paragraph,50,71597.95
oli_intro_bio,bert,assessment,10,65440.59
oli_gen_chem,s-bert,assessment,50,70813.89
oli_intro_bio,bert,paragraph,10,65387.03
oli_intro_bio,bert,paragraph,50,64714.33
oli_intro_bio,s-bert,assessment,50,62548.53
oli_intro_bio,bert,assessment,50,63760.58
oli_gen_chem,bert,paragraph,10,72436.96
oli_gen_chem,bert,assessment,10,72957.62
oli_intro_bio,bert,paragraph,100,63362.96
oli_gen_chem,bert,paragraph,50,71454.91
oli_gen_chem,bert,assessment,50,71463.58
oli_intro_bio,bert,assessment,100,62467.23
oli_gen_chem,bert,paragraph,100,71906.96
oli_gen_chem,s-bert,paragraph,100,69355.84
oli_intro_bio,bert,paragraph,150,62650.88
oli_intro_bio,s-bert,paragraph,100,62693.62
oli_gen_chem,bert,assessment,100,70660.02
oli_gen_chem,s-bert,assessment,100,70405.52
oli_gen_chem,bert,paragraph,150,70513.46
oli_intro_bio,s-bert,assessment,100,61848.15
oli_intro_bio,bert,paragraph,200,61542.88
oli_gen_chem,bert,assessment,150,70081.4
oli_gen_chem,bert,paragraph,200,70415.68
oli_gen_chem,s-bert,assessment,150,69590.31
oli_gen_chem,s-bert,paragraph,150,69297.96
oli_intro_bio,s-bert,paragraph,150,61411.05
oli_intro_bio,bert,assessment,150,61201.49
oli_gen_chem,s-bert,assessment,200,70510.24
oli_intro_bio,s-bert,assessment,150,60795.04
oli_gen_chem,s-bert,paragraph,200,69546.17
oli_intro_bio,s-bert,paragraph,200,61340.18
oli_gen_chem,bert,assessment,200,69801.64
oli_intro_bio,bert,assessment,200,60559.66
oli_intro_bio,s-bert,assessment,200,59897.46
oli_intro_bio,s-bert,assessment,10,64955.47
oli_intro_bio,s-bert,paragraph,10,65381.12
oli_gen_chem,s-bert,assessment,10,71724.79
oli_gen_chem,s-bert,paragraph,10,72504.65
oli_gen_chem,s-bert,assessment,50,71072.17
oli_intro_bio,s-bert,paragraph,50,63673.64
oli_intro_bio,s-bert,assessment,50,62647.15
oli_gen_chem,s-bert,paragraph,50,71566
oli_intro_bio,bert,assessment,10,65320.9
oli_intro_bio,bert,paragraph,10,65361.53
oli_intro_bio,bert,paragraph,50,64153.16
oli_intro_bio,bert,assessment,50,64184.68
oli_gen_chem,bert,assessment,10,72866.78
oli_gen_chem,bert,paragraph,10,72003.68
oli_intro_bio,bert,paragraph,100,64043.3
oli_gen_chem,bert,paragraph,50,72175.11
oli_gen_chem,bert,assessment,50,71570.16
oli_gen_chem,bert,paragraph,100,71625.57
oli_gen_chem,s-bert,paragraph,100,70982.88
oli_intro_bio,s-bert,paragraph,100,62280.65
